country,hs_code,year,import_value_usd
Canada,20130,2019,414970485.012
Canada,20230,2019,211182156.506
Canada,20329,2019,116769157.891
Canada,20714,2019,92445127.015
Canada,30214,2019,85271217.961
Canada,30617,2019,331153204.067
Canada,40690,2019,261109193.592
Canada,70200,2019,305612020.595
Canada,80390,2019,410419822.401
Canada,80610,2019,432753479.304
Canada,90111,2019,606860692.599
Canada,90121,2019,538598181.826
Canada,100199,2019,28554802.682
Canada,100590,2019,370119805.805
Canada,100630,2019,358509235.312
Canada,120190,2019,206868022.058
Canada,120510,2019,117284458.173
Canada,151190,2019,93861066.404
Canada,170114,2019,388711488.941
Canada,170490,2019,410461170.964
Canada,180100,2019,224962247.178
Canada,180690,2019,565058456.412
Canada,190110,2019,214723170.571
Canada,190590,2019,1235738218.842
Canada,210390,2019,508371726.991
Canada,210690,2019,1461836357.282
Canada,220210,2019,308640177.864
Canada,220300,2019,554142800.454
Canada,220421,2019,1668544678.513
Canada,220830,2019,241047996.787
Canada,230400,2019,347079604.071
Canada,230910,2019,799870085.757
Canada,230990,2019,284535058.994
Canada,240220,2019,9160439.173
Canada,260111,2019,13236899.838
Canada,260112,2019,757187870.047
Canada,260300,2019,490973438.419
Canada,260600,2019,146310738.187
Canada,260800,2019,833039961.984
Canada,270112,2019,631313944.802
Canada,270119,2019,62466057.347
Canada,270210,2019,1332206.683
Canada,270799,2019,14326101.087
Canada,270900,2019,14297140175.652
Canada,271012,2019,8615719011.961
Canada,271019,2019,5318903987.803
Canada,271020,2019,810939.383
Canada,271111,2019,167193857.246
Canada,271112,2019,62652759.365
Canada,271113,2019,73360149.284
Canada,271121,2019,2266436973.145
Canada,271320,2019,78302380.024
Canada,271600,2019,435856186.236
Canada,281820,2019,1454834086.86
Canada,290243,2019,2476289.876
Canada,290511,2019,92630549.255
Canada,293339,2019,70644888.513
Canada,293359,2019,104608877.84
Canada,293379,2019,83519396.581
Canada,293399,2019,171807672.87
Canada,293499,2019,365674635.129
Canada,293590,2019,450440212.186
Canada,293719,2019,9219818.427
Canada,300212,2019,1075917195.37
Canada,300214,2019,3315896.119
Canada,300215,2019,2618921888.351
Canada,300220,2019,531616371.259
Canada,300390,2019,133685825.879
Canada,300420,2019,235473888.456
Canada,300432,2019,240990715.826
Canada,300439,2019,728463319.758
Canada,300490,2019,6583954384.228
Canada,310210,2019,242720118.493
Canada,310420,2019,4046865.25
Canada,330210,2019,422594506.353
Canada,330300,2019,254497420.297
Canada,330499,2019,1106629089.017
Canada,380893,2019,775508054.239
Canada,381800,2019,17893508.109
Canada,382200,2019,731893366.282
Canada,382499,2019,793242627.277
Canada,382600,2019,554148502.17
Canada,390110,2019,348573616.657
Canada,390120,2019,479549958.098
Canada,390140,2019,223714769.589
Canada,390210,2019,405589542.777
Canada,390230,2019,462200800.009
Canada,390690,2019,570828859.06
Canada,390740,2019,130760169.122
Canada,390810,2019,192475796.885
Canada,391810,2019,484733237.675
Canada,391990,2019,367754635.718
Canada,392010,2019,528112895.819
Canada,392190,2019,457058333.87
Canada,392310,2019,476694239.134
Canada,392321,2019,455392189.734
Canada,392410,2019,401804663.31
Canada,392690,2019,1537475226.869
Canada,400122,2019,163888243.813
Canada,401110,2019,1544317868.818
Canada,401120,2019,900258130.038
Canada,401519,2019,194751617.716
Canada,401693,2019,549367876.096
Canada,401699,2019,334819628.014
Canada,420221,2019,275875021.777
Canada,420222,2019,218299715.414
Canada,420292,2019,523970828.858
Canada,440712,2019,17816772.724
Canada,470321,2019,99479327.05
Canada,470329,2019,125875859.986
Canada,490199,2019,986242270.612
Canada,520100,2019,864481.254
Canada,20130,2020,511451840.553
Canada,20230,2020,323614274.212
Canada,20329,2020,144381595.404
Canada,20714,2020,73704928.812
Canada,30214,2020,72227039.661
Canada,30617,2020,324922171.532
Canada,40690,2020,282077245.862
Canada,70200,2020,318736302.386
Canada,80390,2020,417227344.986
Canada,80610,2020,445140802.928
Canada,90111,2020,606427554.839
Canada,90121,2020,554886708.003
Canada,100199,2020,21871451.61
Canada,100590,2020,288382686.778
Canada,100630,2020,389616271.706
Canada,120190,2020,115906530.265
Canada,120510,2020,102134765.693
Canada,151190,2020,100248289.952
Canada,170114,2020,406473430.696
Canada,170490,2020,387788886.181
Canada,180100,2020,258448905.547
Canada,180690,2020,550660473.307
Canada,190110,2020,215143467.805
Canada,190590,2020,1267985296.536
Canada,210390,2020,532853021.322
Canada,210690,2020,1523194608.22
Canada,220210,2020,330351534.717
Canada,220300,2020,483123034.675
Canada,220421,2020,1694188427.916
Canada,220830,2020,237664603.833
Canada,230400,2020,419194400.665
Canada,230910,2020,896970146.33
Canada,230990,2020,300189959.884
Canada,240220,2020,90251899.405
Canada,260111,2020,6942432.521
Canada,260112,2020,598315085.512
Canada,260300,2020,606674540.886
Canada,260600,2020,128284182.873
Canada,260800,2020,740175233.475
Canada,270112,2020,473427190.817
Canada,270119,2020,43856920.067
Canada,270210,2020,1194677.549
Canada,270799,2020,6971019.87
Canada,270900,2020,8460404183.547
Canada,271012,2020,5685300785.425
Canada,271019,2020,2620358865.537
Canada,271020,2020,888012.987
Canada,271111,2020,148036244.172
Canada,271112,2020,65047498.416
Canada,271113,2020,101796576.756
Canada,271121,2020,1406685605.164
Canada,271320,2020,46235617.169
Canada,271600,2020,181697044.754
Canada,281820,2020,1344305521.91
Canada,290243,2020,5000749.793
Canada,290511,2020,81984190.483
Canada,293339,2020,67242414.803
Canada,293359,2020,154997150.355
Canada,293379,2020,49610363.429
Canada,293399,2020,148137842.597
Canada,293499,2020,409606541.53
Canada,293590,2020,604166047.227
Canada,293719,2020,9792470.44
Canada,300212,2020,805457303.99
Canada,300214,2020,1324401.034
Canada,300215,2020,3157934745.101
Canada,300220,2020,481673378.699
Canada,300390,2020,122007854.227
Canada,300420,2020,209595652.037
Canada,300432,2020,468203045.878
Canada,300439,2020,698567040.223
Canada,300490,2020,6520483370.151
Canada,310210,2020,270825151.902
Canada,310420,2020,8401151.596
Canada,330210,2020,436509480.671
Canada,330300,2020,196205786.564
Canada,330499,2020,986311696.737
Canada,380893,2020,837767388.115
Canada,381800,2020,15017283.461
Canada,382200,2020,1081900289.788
Canada,382499,2020,816740955.878
Canada,382600,2020,479006035.863
Canada,390110,2020,323511421.642
Canada,390120,2020,449532674.246
Canada,390140,2020,239363984.545
Canada,390210,2020,355159181.475
Canada,390230,2020,399399746.899
Canada,390690,2020,497394242.754
Canada,390740,2020,115440444.629
Canada,390810,2020,159773089.801
Canada,391810,2020,488122144.833
Canada,391990,2020,370568180.963
Canada,392010,2020,543792511.053
Canada,392190,2020,407742181.094
Canada,392310,2020,453521786.052
Canada,392321,2020,465849137.899
Canada,392410,2020,361315578.212
Canada,392690,2020,1507477050.277
Canada,400122,2020,118059197.174
Canada,401110,2020,1141235487.062
Canada,401120,2020,798598671.025
Canada,401519,2020,688544583.291
Canada,401693,2020,449470782.709
Canada,401699,2020,321773518.843
Canada,420221,2020,202038641.466
Canada,420222,2020,158818126.196
Canada,420292,2020,405837462.837
Canada,440712,2020,16377567.807
Canada,470321,2020,89153331.718
Canada,470329,2020,135672050.136
Canada,490199,2020,851382010.996
Canada,520100,2020,713783.757
Canada,20130,2021,560050867.784
Canada,20230,2021,240717020.008
Canada,20329,2021,215642791.61
Canada,20714,2021,91906267.01
Canada,30214,2021,102274984.949
Canada,30617,2021,394054086.521
Canada,40690,2021,339599848.224
Canada,70200,2021,321512772.98
Canada,80390,2021,438430465.573
Canada,80610,2021,471617660.983
Canada,90111,2021,765980617.459
Canada,90121,2021,607068535.607
Canada,100199,2021,55072197.679
Canada,100590,2021,683724671.714
Canada,100630,2021,321143587.619
Canada,120190,2021,249098270.133
Canada,120510,2021,99250030.927
Canada,151190,2021,125069740.793
Canada,170114,2021,507938805.963
Canada,170490,2021,467996758.511
