hs_code,product_description
020130,"Meat; of bovine animals, boneless cuts, fresh or chilled"
020230,"Meat; of bovine animals, boneless cuts, frozen"
020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen"
020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen"
030214,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water"
040690,"Dairy produce; cheese (not grated, powdered or processed), n.e.c. in heading no. 0406"
070200,"Vegetables; tomatoes, fresh or chilled"
080390,"Fruit, edible; bananas, other than plantains, fresh or dried"
080610,"Fruit, edible; grapes, fresh"
090111,Coffee; not roasted or decaffeinated
090121,"Coffee; roasted, not decaffeinated"
100199,"Cereals; wheat and meslin, other than durum wheat, other than seed"
100590,"Cereals; maize (corn), other than seed"
100630,"Cereals; rice, semi-milled or wholly milled, whether or not polished or glazed"
120190,"Soya beans; other than seed, whether or not broken"
120510,"Oil seeds; low erucic acid rape or colza seeds, whether or not broken"
151190,"Vegetable oils; palm oil and its fractions, other than crude, whether or not refined, but not chemically modified"
170114,"Sugars; cane sugar, raw, in solid form, other than as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter"
170490,"Sugar confectionery; (excluding chewing gum, including white chocolate), not containing cocoa"
180100,"Cocoa beans; whole or broken, raw or roasted"
180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18
190110,"Food preparations; of flour, meal, starch, malt extract or milk products, suitable for infants or young children, put up for retail sale"
190590,"Food preparations; bakers' wares n.e.c. in heading no. 1605, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products"
210390,Sauces and preparations therefor; mixed condiments and mixed seasonings
210690,Food preparations; n.e.c. in item no. 2106.10
220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured"
220300,Beer; made from malt
220421,"Wine; still, in containers holding 2 litres or less"
220830,Whiskies
230400,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil"
230910,"Dog or cat food; put up for retail sale, used in animal feeding"
230990,"Dog or cat food; (not put up for retail sale), used in animal feeding"
240220,Cigarettes; containing tobacco
260111,Iron ores and concentrates; non-agglomerated
260112,Iron ores and concentrates; agglomerated (excluding roasted iron pyrites)
260300,Copper ores and concentrates
260600,Aluminium ores and concentrates
260800,Zinc ores and concentrates
270112,"Coal; bituminous, whether or not pulverised, but not agglomerated"
270119,"Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated"
270210,"Lignite; whether or not pulverised, but not agglomerated, excluding jet"
270799,Oils and other products of the distillation of high temperature coal tar; n.e.c. in heading no. 2707
270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude"
271012,"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations"
271019,"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations"
271020,"Petroleum oils and oils from bituminous minerals, containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals"
271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas"
271112,"Petroleum gases and other gaseous hydrocarbons; liquefied, propane"
271113,"Petroleum gases and other gaseous hydrocarbons; liquefied, butanes"
271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas"
271320,Petroleum bitumen; obtained from bituminous minerals
271600,Electrical energy
281820,Aluminium oxide; other than artificial corundum
290243,Cyclic hydrocarbons; p-xylene
290511,"Alcohols; saturated monohydric, methanol (methyl alcohol)"
293339,"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, n.e.c. in 2933.3"
293359,"Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5"
293379,Heterocyclic compounds; lactams; other than 6-hexanelactam (epsilon caprolactam) and clobazam (INN) and methyprylon (INN)
293399,Heterocyclic compounds; n.e.c. in headings no. 2933
293499,"Nucleic acids and their salts, other heterocyclic compounds, n.e.c. in heading number 2934"
293590,Sulphonamides; n.e.c. in heading no. 2935
